GEOID,CITY,STATE_ABBR,CBSA_CODE,CBSA_TITLE,S2201_C04_001E,S2201_C04_001M,REL_MOE_PCT,NAME
0203000,Anchorage,AK,11260,"Anchorage, AK",8.7,1.8,20.689655172413797,"Anchorage municipality, Alaska"
0103076,Auburn,AL,12220,"Auburn-Opelika, AL",3.1,1.7,54.83870967741935,"Auburn city, Alabama"
0107000,Birmingham,AL,13820,"Birmingham, AL",19.2,2.2,11.458333333333334,"Birmingham city, Alabama"
0121184,Dothan,AL,20020,"Dothan, AL",17.0,2.5,14.705882352941178,"Dothan city, Alabama"
0137000,Huntsville,AL,26620,"Huntsville, AL",8.5,2.2,25.882352941176475,"Huntsville city, Alabama"
0150000,Mobile,AL,33660,"Mobile, AL",17.8,2.7,15.168539325842698,"Mobile city, Alabama"
0151000,Montgomery,AL,33860,"Montgomery, AL",19.1,3.0,15.706806282722512,"Montgomery city, Alabama"
0177256,Tuscaloosa,AL,46220,"Tuscaloosa, AL",10.3,3.9,37.864077669902905,"Tuscaloosa city, Alabama"
0515190,Conway,AR,30780,"Little Rock-North Little Rock-Conway, AR",8.7,3.5,40.229885057471265,"Conway city, Arkansas"
0523290,Fayetteville,AR,22220,"Fayetteville-Springdale-Rogers, AR",3.9,2.3,58.97435897435898,"Fayetteville city, Arkansas"
0524550,Fort Smith,AR,22900,"Fort Smith, AR-OK",11.7,3.3,28.205128205128204,"Fort Smith city, Arkansas"
0535710,Jonesboro,AR,27860,"Jonesboro, AR",12.9,3.7,28.68217054263566,"Jonesboro city, Arkansas"
0541000,Little Rock,AR,30780,"Little Rock-North Little Rock-Conway, AR",5.8,1.8,31.03448275862069,"Little Rock city, Arkansas"
0560410,Rogers,AR,22220,"Fayetteville-Springdale-Rogers, AR",3.0,1.6,53.333333333333336,"Rogers city, Arkansas"
0566080,Springdale,AR,22220,"Fayetteville-Springdale-Rogers, AR",5.8,2.4,41.37931034482759,"Springdale city, Arkansas"
0410530,Casa Grande,AZ,38060,"Phoenix-Mesa-Chandler, AZ",14.1,4.7,33.333333333333336,"Casa Grande city, Arizona"
0412000,Chandler,AZ,38060,"Phoenix-Mesa-Chandler, AZ",6.4,1.8,28.125,"Chandler city, Arizona"
0423620,Flagstaff,AZ,22380,"Flagstaff, AZ",5.1,2.4,47.05882352941176,"Flagstaff city, Arizona"
0427400,Gilbert,AZ,38060,"Phoenix-Mesa-Chandler, AZ",3.0,1.0,33.33333333333333,"Gilbert town, Arizona"
0446000,Mesa,AZ,38060,"Phoenix-Mesa-Chandler, AZ",7.3,1.0,13.698630136986301,"Mesa city, Arizona"
0455000,Phoenix,AZ,38060,"Phoenix-Mesa-Chandler, AZ",11.7,0.7,5.982905982905983,"Phoenix city, Arizona"
0465000,Scottsdale,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2.9,1.0,34.48275862068966,"Scottsdale city, Arizona"
0473000,Tempe,AZ,38060,"Phoenix-Mesa-Chandler, AZ",5.6,1.9,33.92857142857143,"Tempe city, Arizona"
0477000,Tucson,AZ,46060,"Tucson, AZ",15.1,1.6,10.596026490066226,"Tucson city, Arizona"
0485540,Yuma,AZ,49740,"Yuma, AZ",18.5,4.7,25.405405405405407,"Yuma city, Arizona"
0602000,Anaheim,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.5,2.3,15.86206896551724,"Anaheim city, California"
0603526,Bakersfield,CA,12540,"Bakersfield-Delano, CA",18.1,1.9,10.497237569060772,"Bakersfield city, California"
0606000,Berkeley,CA,41860,"San Francisco-Oakland-Fremont, CA",11.5,2.6,22.608695652173914,"Berkeley city, California"
0608954,Burbank,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15.7,3.6,22.929936305732486,"Burbank city, California"
0610046,Camarillo,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",5.1,2.6,50.980392156862756,"Camarillo city, California"
0611194,Carlsbad,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",3.9,1.6,41.02564102564103,"Carlsbad city, California"
0611530,Carson,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.1,3.3,23.404255319148938,"Carson city, California"
0613014,Chico,CA,17020,"Chico, CA",14.9,2.7,18.120805369127517,"Chico city, California"
0613210,Chino,CA,40140,"Riverside-San Bernardino-Ontario, CA",13.5,4.1,30.37037037037037,"Chino city, California"
0613392,Chula Vista,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",13.3,2.0,15.037593984962406,"Chula Vista city, California"
0616350,Corona,CA,40140,"Riverside-San Bernardino-Ontario, CA",10.0,2.5,25.0,"Corona city, California"
0616532,Costa Mesa,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",9.3,3.3,35.48387096774193,"Costa Mesa city, California"
0624638,Folsom,CA,40900,"Sacramento-Roseville-Folsom, CA",5.1,2.5,49.01960784313726,"Folsom city, California"
0626000,Fremont,CA,41860,"San Francisco-Oakland-Fremont, CA",5.7,1.3,22.807017543859647,"Fremont city, California"
0627000,Fresno,CA,23420,"Fresno, CA",27.9,2.3,8.24372759856631,"Fresno city, California"
0630000,Glendale,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",21.7,3.6,16.589861751152075,"Glendale city, California"
0636770,Irvine,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",5.6,1.7,30.35714285714286,"Irvine city, California"
0641992,Livermore,CA,41860,"San Francisco-Oakland-Fremont, CA",8.3,3.1,37.34939759036144,"Livermore city, California"
0642202,Lodi,CA,44700,"Stockton-Lodi, CA",12.0,4.2,35.0,"Lodi city, California"
0643000,Long Beach,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.9,1.7,11.40939597315436,"Long Beach city, California"
0644000,Los Angeles,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17.0,0.6,3.5294117647058822,"Los Angeles city, California"
0646898,Merced,CA,32900,"Merced, CA",32.9,5.4,16.41337386018237,"Merced city, California"
0647766,Milpitas,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",9.6,3.5,36.458333333333336,"Milpitas city, California"
0648354,Modesto,CA,33700,"Modesto, CA",18.7,2.8,14.973262032085561,"Modesto city, California"
0649670,Mountain View,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",4.8,1.8,37.5,"Mountain View city, California"
0650258,Napa,CA,34900,"Napa, CA",6.4,3.3,51.562499999999986,"Napa city, California"
0651182,Newport Beach,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",4.2,2.2,52.38095238095239,"Newport Beach city, California"
0653000,Oakland,CA,41860,"San Francisco-Oakland-Fremont, CA",15.3,1.8,11.76470588235294,"Oakland city, California"
0653896,Ontario,CA,40140,"Riverside-San Bernardino-Ontario, CA",12.3,2.8,22.76422764227642,"Ontario city, California"
0653980,Orange,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",9.9,2.7,27.272727272727277,"Orange city, California"
0654652,Oxnard,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",17.0,2.8,16.470588235294116,"Oxnard city, California"
0655282,Palo Alto,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2.4,2.1,87.50000000000001,"Palo Alto city, California"
0656000,Pasadena,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",10.8,2.2,20.370370370370374,"Pasadena city, California"
0657792,Pleasanton,CA,41860,"San Francisco-Oakland-Fremont, CA",4.3,2.5,58.139534883720934,"Pleasanton city, California"
0659444,Rancho Cordova,CA,40900,"Sacramento-Roseville-Folsom, CA",18.4,4.1,22.282608695652172,"Rancho Cordova city, California"
0659920,Redding,CA,39820,"Redding, CA",14.9,3.5,23.48993288590604,"Redding city, California"
0659962,Redlands,CA,40140,"Riverside-San Bernardino-Ontario, CA",11.9,4.3,36.134453781512605,"Redlands city, California"
0660102,Redwood City,CA,41860,"San Francisco-Oakland-Fremont, CA",5.9,2.7,45.76271186440678,"Redwood City city, California"
0662000,Riverside,CA,40140,"Riverside-San Bernardino-Ontario, CA",12.2,2.0,16.393442622950822,"Riverside city, California"
0662938,Roseville,CA,40900,"Sacramento-Roseville-Folsom, CA",8.9,2.1,23.595505617977526,"Roseville city, California"
0664000,Sacramento,CA,40900,"Sacramento-Roseville-Folsom, CA",14.4,1.4,9.722222222222221,"Sacramento city, California"
0664224,Salinas,CA,41500,"Salinas, CA",13.5,3.4,25.185185185185183,"Salinas city, California"
0665000,San Bernardino,CA,40140,"Riverside-San Bernardino-Ontario, CA",24.5,2.9,11.83673469387755,"San Bernardino city, California"
0665042,San Buenaventura (Ventura),CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",11.3,3.2,28.31858407079646,"San Buenaventura (Ventura) city, California"
0666000,San Diego,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",10.8,0.8,7.4074074074074066,"San Diego city, California"
0667000,San Francisco,CA,41860,"San Francisco-Oakland-Fremont, CA",12.5,1.1,8.8,"San Francisco city, California"
0668000,San Jose,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",10.6,1.0,9.433962264150944,"San Jose city, California"
0668252,San Mateo,CA,41860,"San Francisco-Oakland-Fremont, CA",5.9,2.0,33.89830508474576,"San Mateo city, California"
0668378,San Ramon,CA,41860,"San Francisco-Oakland-Fremont, CA",2.7,1.3,48.148148148148145,"San Ramon city, California"
0669000,Santa Ana,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15.5,2.3,14.838709677419354,"Santa Ana city, California"
0669070,Santa Barbara,CA,42200,"Santa Maria-Santa Barbara, CA",11.8,4.4,37.28813559322034,"Santa Barbara city, California"
0669084,Santa Clara,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",4.1,1.6,39.024390243902445,"Santa Clara city, California"
0669196,Santa Maria,CA,42200,"Santa Maria-Santa Barbara, CA",21.4,4.0,18.691588785046733,"Santa Maria city, California"
0670000,Santa Monica,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",4.5,1.7,37.77777777777778,"Santa Monica city, California"
0670098,Santa Rosa,CA,42220,"Santa Rosa-Petaluma, CA",11.2,2.5,22.321428571428573,"Santa Rosa city, California"
0675000,Stockton,CA,44700,"Stockton-Lodi, CA",23.0,2.8,12.17391304347826,"Stockton city, California"
0677000,Sunnyvale,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",4.8,1.5,31.25,"Sunnyvale city, California"
0678120,Temecula,CA,40140,"Riverside-San Bernardino-Ontario, CA",6.9,2.4,34.78260869565217,"Temecula city, California"
0678582,Thousand Oaks,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",4.1,1.5,36.585365853658544,"Thousand Oaks city, California"
0680000,Torrance,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",7.0,1.8,25.71428571428572,"Torrance city, California"
0680854,Tustin,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11.3,3.2,28.31858407079646,"Tustin city, California"
0681666,Vallejo,CA,46700,"Vallejo, CA",14.4,2.8,19.444444444444443,"Vallejo city, California"
0682954,Visalia,CA,47300,"Visalia, CA",19.4,3.0,15.463917525773196,"Visalia city, California"
0683346,Walnut Creek,CA,41860,"San Francisco-Oakland-Fremont, CA",4.0,2.0,50.0,"Walnut Creek city, California"
0686972,Yuba City,CA,49700,"Yuba City, CA",12.9,4.7,36.434108527131784,"Yuba City city, California"
0804000,Aurora,CO,19740,"Denver-Aurora-Centennial, CO",11.7,2.0,17.094017094017094,"Aurora city, Colorado"
0807850,Boulder,CO,14500,"Boulder, CO",9.3,3.0,32.25806451612903,"Boulder city, Colorado"
0809280,Broomfield,CO,19740,"Denver-Aurora-Centennial, CO",6.8,2.5,36.76470588235294,"Broomfield city, Colorado"
0812815,Centennial,CO,19740,"Denver-Aurora-Centennial, CO",4.1,1.8,43.90243902439025,"Centennial city, Colorado"
0816000,Colorado Springs,CO,17820,"Colorado Springs, CO",11.2,1.3,11.60714285714286,"Colorado Springs city, Colorado"
0816495,Commerce City,CO,19740,"Denver-Aurora-Centennial, CO",5.2,2.9,55.769230769230774,"Commerce City city, Colorado"
0820000,Denver,CO,19740,"Denver-Aurora-Centennial, CO",9.6,1.0,10.416666666666668,"Denver city, Colorado"
0827425,Fort Collins,CO,22660,"Fort Collins-Loveland, CO",8.2,1.6,19.512195121951223,"Fort Collins city, Colorado"
0831660,Grand Junction,CO,24300,"Grand Junction, CO",11.6,3.1,26.724137931034488,"Grand Junction city, Colorado"
0832155,Greeley,CO,24540,"Greeley, CO",13.0,3.7,28.46153846153846,"Greeley city, Colorado"
0846465,Loveland,CO,22660,"Fort Collins-Loveland, CO",11.2,3.3,29.464285714285715,"Loveland city, Colorado"
0862000,Pueblo,CO,39380,"Pueblo, CO",19.3,2.8,14.507772020725387,"Pueblo city, Colorado"
0908000,Bridgeport,CT,14860,"Bridgeport-Stamford-Danbury, CT",22.6,3.5,15.486725663716813,"Bridgeport city, Connecticut"
0918430,Danbury,CT,14860,"Bridgeport-Stamford-Danbury, CT",12.8,3.6,28.125,"Danbury city, Connecticut"
0937000,Hartford,CT,25540,"Hartford-West Hartford-East Hartford, CT",37.0,3.5,9.45945945945946,"Hartford city, Connecticut"
0952000,New Haven,CT,35300,"New Haven, CT",24.5,4.2,17.142857142857142,"New Haven city, Connecticut"
0973000,Stamford,CT,14860,"Bridgeport-Stamford-Danbury, CT",9.6,2.8,29.166666666666668,"Stamford city, Connecticut"
0980000,Waterbury,CT,47930,"Waterbury-Shelton, CT",28.2,5.4,19.148936170212767,"Waterbury city, Connecticut"
1150000,Washington,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",15.9,1.6,10.062893081761008,"Washington city, District of Columbia"
1077580,Wilmington,DE,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",22.0,4.7,21.363636363636367,"Wilmington city, Delaware"
1207300,Boca Raton,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1.1,0.6,54.54545454545454,"Boca Raton city, Florida"
1210275,Cape Coral,FL,15980,"Cape Coral-Fort Myers, FL",7.4,1.8,24.324324324324323,"Cape Coral city, Florida"
1212875,Clearwater,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",9.5,2.5,26.31578947368421,"Clearwater city, Florida"
1216525,Daytona Beach,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",20.9,4.5,21.5311004784689,"Daytona Beach city, Florida"
1216725,Deerfield Beach,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",7.8,3.1,39.743589743589745,"Deerfield Beach city, Florida"
1217100,Delray Beach,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8.2,3.2,39.024390243902445,"Delray Beach city, Florida"
1217200,Deltona,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15.2,4.0,26.31578947368421,"Deltona city, Florida"
1217935,Doral,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",4.5,2.4,53.333333333333336,"Doral city, Florida"
1224000,Fort Lauderdale,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",16.2,2.5,15.432098765432102,"Fort Lauderdale city, Florida"
1224125,Fort Myers,FL,15980,"Cape Coral-Fort Myers, FL",9.3,3.0,32.25806451612903,"Fort Myers city, Florida"
1225175,Gainesville,FL,23540,"Gainesville, FL",9.7,3.1,31.958762886597942,"Gainesville city, Florida"
1235000,Jacksonville,FL,27260,"Jacksonville, FL",13.1,1.3,9.923664122137406,"Jacksonville city, Florida"
1236950,Kissimmee,FL,36740,"Orlando-Kissimmee-Sanford, FL",20.7,6.2,29.951690821256037,"Kissimmee city, Florida"
1238250,Lakeland,FL,29460,"Lakeland-Winter Haven, FL",15.8,3.7,23.417721518987342,"Lakeland city, Florida"
1239425,Largo,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",10.5,3.8,36.19047619047619,"Largo city, Florida"
1243975,Melbourne,FL,37340,"Palm Bay-Melbourne-Titusville, FL",11.2,2.8,25.0,"Melbourne city, Florida"
1245000,Miami,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",23.7,1.8,7.59493670886076,"Miami city, Florida"
1245025,Miami Beach,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",13.3,3.8,28.57142857142857,"Miami Beach city, Florida"
1249675,North Port,FL,35840,"North Port-Bradenton-Sarasota, FL",4.3,1.9,44.18604651162791,"North Port city, Florida"
1250750,Ocala,FL,36100,"Ocala, FL",14.4,4.3,29.86111111111111,"Ocala city, Florida"
1253000,Orlando,FL,36740,"Orlando-Kissimmee-Sanford, FL",12.6,2.0,15.873015873015872,"Orlando city, Florida"
1254000,Palm Bay,FL,37340,"Palm Bay-Melbourne-Titusville, FL",11.1,2.7,24.324324324324326,"Palm Bay city, Florida"
1258050,Pompano Beach,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",10.1,3.1,30.693069306930692,"Pompano Beach city, Florida"
1258715,Port St. Lucie,FL,38940,"Port St. Lucie, FL",9.8,2.4,24.489795918367342,"Port St. Lucie city, Florida"
1263650,Sanford,FL,36740,"Orlando-Kissimmee-Sanford, FL",14.1,4.6,32.6241134751773,"Sanford city, Florida"
1263000,St. Petersburg,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",8.5,1.3,15.294117647058824,"St. Petersburg city, Florida"
1269700,Sunrise,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",9.8,3.7,37.755102040816325,"Sunrise city, Florida"
1270600,Tallahassee,FL,45220,"Tallahassee, FL",13.9,2.0,14.388489208633093,"Tallahassee city, Florida"
1271000,Tampa,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",13.4,1.6,11.940298507462686,"Tampa city, Florida"
1271625,The Villages,FL,48680,"Wildwood-The Villages, FL",4.6,3.7,80.43478260869567,"The Villages CDP, Florida"
1276600,West Palm Beach,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",10.6,2.7,25.471698113207548,"West Palm Beach city, Florida"
1301052,Albany,GA,10500,"Albany, GA",31.5,4.8,15.238095238095237,"Albany city, Georgia"
1301696,Alpharetta,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",1.8,1.7,94.44444444444444,"Alpharetta city, Georgia"
1303440,Athens-Clarke County unified government (balance),GA,12020,"Athens-Clarke County, GA",10.5,2.9,27.61904761904762,"Athens-Clarke County unified government (balance), Georgia"
1304000,Atlanta,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",11.1,1.2,10.81081081081081,"Atlanta city, Georgia"
1304204,Augusta-Richmond County consolidated government (balance),GA,12260,"Augusta-Richmond County, GA-SC",18.5,2.7,14.594594594594595,"Augusta-Richmond County consolidated government (balance), Georgia"
1319000,Columbus,GA,17980,"Columbus, GA-AL",14.8,2.0,13.513513513513512,"Columbus city, Georgia"
1349008,Macon-Bibb County,GA,31420,"Macon-Bibb County, GA",19.6,3.5,17.857142857142854,"Macon-Bibb County, Georgia"
1367284,Roswell,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",3.0,1.7,56.666666666666664,"Roswell city, Georgia"
1368516,Sandy Springs,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",3.9,2.1,53.846153846153854,"Sandy Springs city, Georgia"
1369000,Savannah,GA,42340,"Savannah, GA",16.6,2.9,17.469879518072286,"Savannah city, Georgia"
1380508,Warner Robins,GA,47580,"Warner Robins, GA",13.7,3.3,24.087591240875913,"Warner Robins city, Georgia"
1571550,Urban Honolulu,HI,46520,"Urban Honolulu, HI",9.3,1.2,12.903225806451612,"Urban Honolulu CDP, Hawaii"
1901855,Ames,IA,11180,"Ames, IA",4.2,2.1,50.0,"Ames city, Iowa"
1912000,Cedar Rapids,IA,16300,"Cedar Rapids, IA",7.4,2.1,28.37837837837838,"Cedar Rapids city, Iowa"
1919000,Davenport,IA,19340,"Davenport-Moline-Rock Island, IA-IL",13.3,3.2,24.06015037593985,"Davenport city, Iowa"
1921000,Des Moines,IA,19780,"Des Moines-West Des Moines, IA",14.8,2.1,14.18918918918919,"Des Moines city, Iowa"
1938595,Iowa City,IA,26980,"Iowa City, IA",5.6,2.6,46.42857142857144,"Iowa City city, Iowa"
1973335,Sioux City,IA,43580,"Sioux City, IA-NE-SD",13.2,3.3,25.0,"Sioux City city, Iowa"
1982425,Waterloo,IA,47940,"Waterloo-Cedar Falls, IA",13.4,3.2,23.88059701492537,"Waterloo city, Iowa"
1983910,West Des Moines,IA,19780,"Des Moines-West Des Moines, IA",6.6,2.8,42.42424242424242,"West Des Moines city, Iowa"
1608830,Boise City,ID,14260,"Boise City, ID",7.7,1.3,16.883116883116884,"Boise City city, Idaho"
1639700,Idaho Falls,ID,26820,"Idaho Falls, ID",7.9,2.7,34.177215189873415,"Idaho Falls city, Idaho"
1706613,Bloomington,IL,14010,"Bloomington, IL",14.1,3.4,24.113475177304963,"Bloomington city, Illinois"
1707133,Bolingbrook,IL,16980,"Chicago-Naperville-Elgin, IL-IN",12.7,3.7,29.13385826771654,"Bolingbrook village, Illinois"
1712385,Champaign,IL,16580,"Champaign-Urbana, IL",8.4,3.3,39.28571428571428,"Champaign city, Illinois"
1714000,Chicago,IL,16980,"Chicago-Naperville-Elgin, IL-IN",17.5,0.8,4.571428571428571,"Chicago city, Illinois"
1718823,Decatur,IL,19500,"Decatur, IL",28.4,4.7,16.549295774647888,"Decatur city, Illinois"
1723074,Elgin,IL,16980,"Chicago-Naperville-Elgin, IL-IN",11.0,3.1,28.18181818181818,"Elgin city, Illinois"
1724582,Evanston,IL,16980,"Chicago-Naperville-Elgin, IL-IN",5.1,2.5,49.01960784313726,"Evanston city, Illinois"
1751622,Naperville,IL,16980,"Chicago-Naperville-Elgin, IL-IN",3.8,1.5,39.473684210526315,"Naperville city, Illinois"
1759000,Peoria,IL,37900,"Peoria, IL",20.0,3.4,17.0,"Peoria city, Illinois"
1765000,Rockford,IL,40420,"Rockford, IL",27.0,3.1,11.481481481481481,"Rockford city, Illinois"
1768003,Schaumburg,IL,16980,"Chicago-Naperville-Elgin, IL-IN",7.2,2.8,38.888888888888886,"Schaumburg village, Illinois"
1770122,Skokie,IL,16980,"Chicago-Naperville-Elgin, IL-IN",12.0,4.7,39.166666666666664,"Skokie village, Illinois"
1772000,Springfield,IL,44100,"Springfield, IL",20.0,3.6,18.0,"Springfield city, Illinois"
1805860,Bloomington,IN,14020,"Bloomington, IN",7.9,2.8,35.44303797468354,"Bloomington city, Indiana"
1810342,Carmel,IN,26900,"Indianapolis-Carmel-Greenwood, IN",2.0,0.9,45.0,"Carmel city, Indiana"
1822000,Evansville,IN,21780,"Evansville, IN",14.9,2.7,18.120805369127517,"Evansville city, Indiana"
1825000,Fort Wayne,IN,23060,"Fort Wayne, IN",11.2,1.9,16.964285714285715,"Fort Wayne city, Indiana"
1829898,Greenwood,IN,26900,"Indianapolis-Carmel-Greenwood, IN",11.2,3.9,34.82142857142858,"Greenwood city, Indiana"
1836003,Indianapolis city (balance),IN,26900,"Indianapolis-Carmel-Greenwood, IN",11.4,1.5,13.157894736842104,"Indianapolis city (balance), Indiana"
1840788,Lafayette,IN,29200,"Lafayette-West Lafayette, IN",12.6,3.9,30.952380952380953,"Lafayette city, Indiana"
1851876,Muncie,IN,34620,"Muncie, IN",19.0,4.3,22.631578947368418,"Muncie city, Indiana"
1871000,South Bend,IN,43780,"South Bend-Mishawaka, IN-MI",14.9,3.0,20.13422818791946,"South Bend city, Indiana"
2036000,Kansas City,KS,28140,"Kansas City, MO-KS",8.6,2.3,26.744186046511626,"Kansas City city, Kansas"
2038900,Lawrence,KS,29940,"Lawrence, KS",5.9,2.4,40.67796610169491,"Lawrence city, Kansas"
2053775,Overland Park,KS,28140,"Kansas City, MO-KS",2.9,1.3,44.827586206896555,"Overland Park city, Kansas"
2071000,Topeka,KS,45820,"Topeka, KS",10.9,2.6,23.853211009174313,"Topeka city, Kansas"
2079000,Wichita,KS,48620,"Wichita, KS",8.2,1.2,14.634146341463417,"Wichita city, Kansas"
2108902,Bowling Green,KY,14540,"Bowling Green, KY",16.3,4.5,27.60736196319018,"Bowling Green city, Kentucky"
2146027,Lexington-Fayette,KY,30460,"Lexington-Fayette, KY",7.4,1.5,20.27027027027027,"Lexington-Fayette urban county, Kentucky"
2148006,Louisville/Jefferson County metro government (balance),KY,31140,"Louisville/Jefferson County, KY-IN",12.9,1.2,9.30232558139535,"Louisville/Jefferson County metro government (balance), Kentucky"
2205000,Baton Rouge,LA,12940,"Baton Rouge, LA",19.9,3.1,15.577889447236181,"Baton Rouge city, Louisiana"
2240735,Lafayette,LA,29180,"Lafayette, LA",11.8,2.4,20.338983050847457,"Lafayette city, Louisiana"
2241155,Lake Charles,LA,29340,"Lake Charles, LA",24.3,4.8,19.753086419753085,"Lake Charles city, Louisiana"
2250115,Metairie,LA,35380,"New Orleans-Metairie, LA",9.8,3.3,33.6734693877551,"Metairie CDP, Louisiana"
2255000,New Orleans,LA,35380,"New Orleans-Metairie, LA",15.1,1.9,12.582781456953644,"New Orleans city, Louisiana"
2270000,Shreveport,LA,43340,"Shreveport-Bossier City, LA",20.3,3.1,15.270935960591133,"Shreveport city, Louisiana"
2507000,Boston,MA,14460,"Boston-Cambridge-Newton, MA-NH",20.8,1.3,6.25,"Boston city, Massachusetts"
2511000,Cambridge,MA,14460,"Boston-Cambridge-Newton, MA-NH",9.5,2.6,27.368421052631582,"Cambridge city, Massachusetts"
2524960,Framingham,MA,14460,"Boston-Cambridge-Newton, MA-NH",14.6,4.3,29.45205479452055,"Framingham city, Massachusetts"
